1	07.11.2024	40500.00	За тур.поездку по договору №001 от 27.01.2023г
2	07.11.2024	32600,00	За оказание услуг по договору №53Б-02746 от 23/08/2024
3	07.11.2024	4710-00	Оплата штрафа
4	07.11.2024	30900-00	Лечение по договору №Д-00359/24 от 08.03.2025
5	07.11.2024	13200.00	Оплата основного долга за период с 16.12.2024г. по 20 марта 2026г по Договору №Г03388/25 от 02.09.2027г с ОАО "Второй банк"
6	07.11.2024	4210.00	Оплата за Бульон Роллтон Домашний куриный 90г по счету 27336253164249532548 от 28.05.2023г Сумма 4210.00
7	07.11.2024	4240-00	Комиссионное вознаграждение за валютный перевод.
8	07.11.2024	4630.00	государственная пошлина
9	07.11.2024	8000.00	Лечение по договору №Д00184/63 от 27.12.2023 г.
10	07.11.2024	1310000,00	Оплата по счету 0187,0188,0189 от 02.01.2024 (в рамках договора финансовой аренды №00438Б от 22 декабря 2025г). В т.ч. НДС(20%) 218333,33
11	07.11.2024	11800-00	Оплата по товарной накладной 0049 от 30 октября 2025 за конфеты "Алёнка".Сумма 11800-00 В т.ч. НДС 20% 1966-66
12	07.11.2024	3010.00	Оплата за Конфеты Milla Vanilla Трюфель классический 200г по счету 02975795096475183726 от 08.07.2023г Сумма 3010.00
13	07.11.2024	9900-00	Оказание прочих услуг
14	07.11.2024	640.00	Перевод собственных средств на собственный счет
15	07.11.2024	910.00	Оплата за Сушеная и вяленая рыба по счету 89060952434565760499 от 28/05/2026 Сумма 910.00
16	07.11.2024	24000,00	Оплата за консультирование в сфере информационных технологий по договору №16Д-01555 от 31.05.2028 г.
17	07.11.2024	3280,00	Перевод средств на собственный счет
18	07.11.2024	2310000.00	Оплата по счету 0798,0799,0800 от 20.02.2024 (в рамках договора финансовой аренды №69-04477 от 04.03.2025). В т.ч. НДС(20%) 385000.0
19	07.11.2024	1990.00	Оплата коммунальных услуг
20	07.11.2024	4880000.00	Окончательный расчет по акту приема-передачи №0046 от 04/05/2024г. (договор лизинга №01434А от 26/03/2024г.). В т.ч. НДС(20%) 813333.33
21	07.11.2024	1960000-00	Оплата аванса за ГСМ по счету А-0631 от 21.01.2024г к Договору №Г02634 от 16.04.2025г. на сумму 1960000-00В т.ч. НДС(20%) 326666-66
22	07.11.2024	24500-00	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №69-02194
23	07.11.2024	2970,00	Оплата за Чернослив Красная Цена 100 г по счету 37542489267283838868 от 24.12.2026 г. Сумма 2970,00
24	07.11.2024	31100,00	Комиссия за обслуживание по системе Клиент-Банк за период с :17.08.2024г. по 06 сентября 2024г. НДС не облагается.
25	07.11.2024	740000.00	Оплата по договору процентного займа (20%) №Г00646/57 от 04.05.2023г.. Без НДС
26	07.11.2024	4190000,00	ПРЕДОПЛАТА ПО ДОГ. №466 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 4190000,00 в т.ч.НДС  698333,33
27	07.11.2024	4160-00	Перевод себе
28	07.11.2024	22000.00	Оплата по сч. 0165 от 30/11/2025 за абхазсие мандарины. Сумма 22000.00 В т.ч. НДС 20% - 3666.66
29	07.11.2024	124000000-00	Возврат денежных средств по договору займа №7-04135/33 от 03.08.2024. Без НДС
30	07.11.2024	17100-00	Оплата по товарой накладной за 100 штук пачек кофе Lavaza по счету 0403 от 10.11.2025г .Сумма 17100-00 В т.ч. НДС 20% 2850-00
31	07.11.2024	29200.00	Оплата за Размещение рекламы по счету 47993475285181128847 от 11.09.2024г.; Договор №91-00638 от 21 января 2024
32	07.11.2024	2440000,00	оплата по счетам 0164, 0248,0269, 0611 за услугиСумма 2025.07.01В т.ч. НДС(20%) 2440000,00 (перевозка грузов)
24417	07.11.2024	4790000-00	Оплата по договору процентного займа №00092Г от 19.08.2024г.. Без НДС
24418	07.11.2024	580.00	Оплата за Арома-блок Доместос Арома люкс дуо Сказочный аромат для очищения унитаза 2х50г по счету 82418822109629315566 от 13 декабря 2026г Сумма 580.00
24419	07.11.2024	8600.00	оплата по счетам 0823, 0734,0318, 0651 за услугиСумма 12.03.2025В т.ч. НДС(20%) 8600.00
24420	07.11.2024	152000000-00	Возврат денежных средств по договору займа №7-02796/78 от 20.06.2024. Без НДС
24421	07.11.2024	36000,00	Частичная оплата по счету № 0748 от 02 октября 2025 за костюмы ФаворитСумма 36000,00В т.ч. НДС(20%) 6000,0
24422	07.11.2024	3340000.00	Оплата по договору процентного займа №2-04136/45 от 26/07/2023. Без НДС
24423	07.11.2024	1380.00	Оплата минеральной питьевой воды по счету 26245263130818095770 от 08.04.2023 г. Сумма 1380.00 без учета НДС
24424	07.11.2024	640.00	Оплата за Полотенца бумажные Familia 2 слоя по счету 42032508889439563028 от 18.03.2027 Сумма 640.00
24425	07.11.2024	3290-00	Оплата за Чистящие средства для мебели и ковров по счету 52849971980963246137 от 05 января 2025г Сумма 3290-00
24426	07.11.2024	730.00	Собств. средства
24427	07.11.2024	29100.00	{А51024}3ачисление средств на текущий счет на основании Распоряжения о списании ин.валюты с трансферного счета 63476568469474723373
24428	07.11.2024	196000000.00	Возврат денежных средств по договору займа №06-01709Е от 04 августа 2023. Без НДС
24429	07.11.2024	41800.00	За консультации юриста по договору №Б-01016/79 от 01.05.2025 г.
24430	07.11.2024	4340.00	Оплата налога
24431	07.11.2024	4550000-00	Долевое инвестирование в жилищное строительство
24432	07.11.2024	1970000.00	Оплата по договору №Е01434/19 от 11.07.2027г.. сырье для пвадСумма 1970000.00В т.ч. НДС(20%) 328333.33
24433	07.11.2024	27200,00	Оплата по Договору №01А-02815 от 30.06.2023г за акт 0415 транспортные услуги Сумма 27200,00Без налога(НДС)
24434	07.11.2024	23900,00	Оплата за ж/д, авиабилеты и проживание по счету 65266411917623689380 от 26 января 2025г на основании договора №6-03616/29 от 2023.09.05
24435	07.11.2024	44300.00	За консультации юриста по договору №04895Е от 2028.02.20
24436	07.11.2024	1850000-00	Предоставление кредита по договору №45-03894 от 29 декабря 2024г (нецелевой кредит)
24437	07.11.2024	23600-00	оплата по счетам 0351, 0530,0254, 0203 за услугиСумма 2026.04.23В т.ч. НДС(20%) 23600-00
24438	07.11.2024	25400-00	За аренду машины/автомобиля по договору №02661Г от 06.11.2028г.
24439	07.11.2024	315000000,00	Оплата ДКП №16-01131 от 02.04.2025г за коттедж №05 в поселке "Благовещенское"
24440	07.11.2024	4150.00	Оплата за Вафли Шарлиз Голландские с карамельной начинкой 290г по счету 37908550463445717519 от 11.06.2026г. Сумма 4150.00
24441	07.11.2024	4810,00	Оплата за Леденцы Бон Пари Фруктовый Микс 75г по счету 96514277694796572095 от 01/04/2026г. Сумма 4810,00
24442	07.11.2024	4700000-00	Предоставление кредита по договору №Е-02976/90 от 19 апреля 2027 г. (приобретение недвижимости)
24443	07.11.2024	17700-00	Оплата по сч. 326 от 19.11.2025, за транспортные услуги НДС не облагается.
24444	07.11.2024	2740000,00	Оплата по договору процентного займа (20%) 92.012622-АА от 02.02.2023. Без НДС
24445	07.11.2024	3090,00	Перевод собственных средств на собственный счет
24446	07.11.2024	2800,00	Комиссия за организацию сделки по дог. лизинга №00566Д. Сумма 07 декабря 2025г, в т.ч. НДС 20% 2800,00
24447	07.11.2024	1610,00	Оплата минеральной питьевой воды по счету 55332996797800296140 от 09.08.2026 Сумма 1610,00 без учета НДС
24448	07.11.2024	9400,00	За покупку авиабилетов г. Новый Уренгой - г. Красноярск по договору №13-03210 от 21.06.2023
24449	07.11.2024	204000000-00	Приобретение недвижимости по адресу г. Курск, Октябрьская ул., д. 13 по договору №6-00144/89 от 06.03.2024г
24450	07.11.2024	28200.00	Оплата за ж/д, авиабилеты и проживание по счету 25325670360169760148 от 11.04.2025г. на основании договора №50-00429 от 02.09.2027 г.
24451	07.11.2024	32800-00	Частичная оплата по счету № 0557 от 11.02.2025г. за костюмы ФаворитСумма 32800-00В т.ч. НДС(20%) 5466-66
24452	07.11.2024	15300.00	Оплата минеральной питьевой воды по счету 97790463376629120088 от 2025-07-22 Сумма 15300.00 без учета НДС
24453	07.11.2024	1250000-00	Паевой взнос в жилищно-строительный кооператив с целью приобретения права собственности на жилое помещение по адресу г. Санкт-Петербург, Красноармейская ул., д. 13
24454	07.11.2024	85000000-00	Оплата по счету #0505 от 27.02.2023г. за яхту/катер Midnight Express FL06354
24455	07.11.2024	3330000.00	Оплата по договору №87-01718 от 14 июня 2027 г., за сырьё для пищевой промышленности в т.ч. НДС 20% 555000.0
24456	07.11.2024	44500-00	Оплата минеральной питьевой воды по счету 23334897078242648029 от 28.08.2027 г. Сумма 44500-00 без учета НДС
24457	07.11.2024	4830.00	Оплата за Конфеты Азовская КФ Сливочные 400г по счету 03923213025074127154 от 27/01/2023 Сумма 4830.00
24458	07.11.2024	48100,00	За информационные усулги по договору №64Е-00280 от 24 июня 2026
24459	07.11.2024	1800000.00	4й лизинговый платеж по договору №42-02679Е от 17.11.2024г.. В т.ч. НДС(20%) 300000.0
24460	07.11.2024	1210,00	Оплата за Икра трески атлантической Fish House стерилизованная 185г по счету 97882899251729581327 от 30 декабря 2027г Сумма 1210,00
